Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","351","China","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","100.63","Fc","Calculated data"
"FBS","New Food Balances","351","China","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","729","Fc","Calculated data"
"FBS","New Food Balances","351","China","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","40","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3267","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","128.53","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1289","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","93.94","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3327","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","109.47","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1033","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","70.91","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3194","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","100.72","Fc","Calculated data"
